GICS Sector,year,ctype,salecs
Industrials,2022,GOVDOM,141807.234
Industrials,2022,GOVFRN,16931.0
Industrials,2022,MARKET,23474.0
Information Technology,2019,COMPANY,95271.311
Information Technology,2019,GEOREG,812530.024
Information Technology,2019,GOVDOM,3896.4980000000005
Information Technology,2019,GOVFRN,630.96
Information Technology,2019,MARKET,517771.839
Information Technology,2020,COMPANY,83397.389
Information Technology,2020,GEOREG,829583.936
Information Technology,2020,GOVDOM,4293.406
Information Technology,2020,GOVFRN,593.12
Information Technology,2020,MARKET,538584.228
Information Technology,2021,COMPANY,94192.253
Information Technology,2021,GEOREG,935979.007
Information Technology,2021,GOVDOM,4886.215
Information Technology,2021,GOVFRN,653.68
Information Technology,2021,MARKET,687287.6
Information Technology,2022,COMPANY,60957.49
Information Technology,2022,GEOREG,737745.032
Information Technology,2022,GOVDOM,3929.262
Information Technology,2022,MARKET,667628.361
Materials,2019,COMPANY,20560.787
Materials,2019,GEOREG,243663.877
Materials,2019,GOVDOM,1491.62
Materials,2019,MARKET,40310.89
Materials,2020,COMPANY,18439.823
Materials,2020,GEOREG,231250.411
Materials,2020,GOVDOM,1649.34
Materials,2020,MARKET,36342.0
Materials,2021,COMPANY,24918.238
Materials,2021,GEOREG,280866.736
Materials,2021,GOVDOM,1795.43
Materials,2021,MARKET,41414.7
Materials,2022,GEOREG,40055.84
Materials,2022,MARKET,12698.6
Real Estate,2019,COMPANY,18780.198
Real Estate,2019,GEOREG,24310.246
Real Estate,2019,GOVDOM,16.384
Real Estate,2019,MARKET,5002.385
Real Estate,2020,COMPANY,18980.47
Real Estate,2020,GEOREG,21332.891
Real Estate,2020,GOVDOM,16.601
Real Estate,2020,MARKET,2689.035
Real Estate,2021,COMPANY,20432.65
Real Estate,2021,GEOREG,24213.106
Real Estate,2021,GOVDOM,20.697
Real Estate,2021,MARKET,3933.33
Utilities,2019,COMPANY,2404.166
Utilities,2019,GEOREG,29403.0
Utilities,2019,GOVDOM,732.0
Utilities,2019,MARKET,261386.267
Utilities,2020,COMPANY,2528.653
Utilities,2020,GEOREG,24072.0
Utilities,2020,GOVDOM,736.0
Utilities,2020,MARKET,256173.752
Utilities,2021,COMPANY,2939.2
Utilities,2021,GEOREG,26414.0
Utilities,2021,GOVDOM,783.0
Utilities,2021,MARKET,282827.75
